AGE,BMI,SLEEP,SMOKE,DIABETES_PREVALENCE,CVD_PREVALENCE,DIABETES_RISK,CVD_RISK
35,1,2,1,0.11125459079973127,0.05131950940492654,0.89942554229809,0.5614843734832139
35,2,0,0,0.041463445717285004,0.025857837373295757,0.3352066811961755,0.2829094000610621
35,2,0,1,0.041463445717285004,0.03384739317505361,0.3352066811961755,0.3703227597321999
35,2,1,0,0.04128354411737363,0.025305791739849873,0.333752286434598,0.2768694943756085
35,2,1,1,0.04128354411737363,0.03329534754160772,0.333752286434598,0.36428285404674626
35,2,2,0,0.10111850604685374,0.04090723900428978,0.8174814763489634,0.447564205690688
35,2,2,1,0.1171710174536823,0.05131950940492654,0.9472562449544485,0.5614843734832139
35,3,0,0,0.07925480811647928,0.025998619157866654,0.6407268073837329,0.28444968704011203
35,3,0,1,0.07909347801302384,0.0339881749596245,0.6394225518492299,0.3718630467112498
35,3,1,0,0.0788751392668758,0.025446573524420767,0.6376574161928291,0.2784097813546584
35,3,1,1,0.07871380916342034,0.03343612932617862,0.636353160658326,0.3658231410257962
35,3,2,0,0.11797385600674104,0.04520233180421137,0.9537467052201511,0.49455661691558417
35,3,2,1,0.1338650373101142,0.0556146022048481,1.0822172182911336,0.6084767847081098
45,0,0,0,0.06972779865620284,0.07127664547372298,0.5637067438637215,0.7798344740987843
45,0,0,1,0.06972779865620284,0.10519774181475587,0.5637067438637215,1.150963616753453
45,0,1,0,0.06972779865620284,0.07127664547372298,0.5637067438637215,0.7798344740987843
45,0,1,1,0.06972779865620284,0.10519774181475587,0.5637067438637215,1.150963616753453
45,0,2,0,0.12045194323757771,0.08867306841590665,0.9737805297611033,0.9701679310979526
45,0,2,1,0.13278422434527434,0.12501687935581843,1.0734795043681749,1.3678038818740093
45,1,0,0,0.07259357596779342,0.07002551520776172,0.5868748063594326,0.7661459158550512
45,1,0,1,0.07259357596779342,0.10394661154879462,0.5868748063594326,1.1372750585097198
45,1,1,0,0.07259357596779342,0.07002551520776172,0.5868748063594326,0.7661459158550512
45,1,1,1,0.07259357596779342,0.10394661154879462,0.5868748063594326,1.1372750585097198
45,1,2,0,0.12331772054916829,0.08867306841590665,0.9969485922568142,0.9701679310979526
45,1,2,1,0.13565000165686492,0.12501687935581843,1.0966475668638858,1.3678038818740093
45,2,0,0,0.0979057262234212,0.07002551520776172,0.7915081100887178,0.7661459158550512
45,2,0,1,0.0979057262234212,0.10394661154879462,0.7915081100887178,1.1372750585097198
45,2,1,0,0.0979057262234212,0.07002551520776172,0.7915081100887178,0.7661459158550512
45,2,1,1,0.0979057262234212,0.10394661154879462,0.7915081100887178,1.1372750585097198
45,2,2,0,0.1528461669435988,0.08867306841590665,1.2356680798808242,0.9701679310979526
45,2,2,1,0.16517844805129542,0.12501687935581843,1.3353670544878955,1.3678038818740093
45,3,0,0,0.21205290820658956,0.07489253975438216,1.7143184886898133,0.8193958058086809
45,3,0,1,0.21205290820658956,0.10881363609541506,1.7143184886898133,1.1905249484633496
45,3,1,0,0.21205290820658956,0.07489253975438216,1.7143184886898133,0.8193958058086809
45,3,1,1,0.21205290820658956,0.10881363609541506,1.7143184886898133,1.1905249484633496
45,3,2,0,0.2899765019107325,0.09769440397787779,2.3442832391002213,1.0688699452974286
45,3,2,1,0.3023087830184292,0.13403821491778956,2.4439822137072933,1.4665058960734851
55,0,0,0,0.09407914910697017,0.09483356463155665,0.760572566904663,1.0375696346235497
55,0,0,1,0.09407914910697017,0.1497818126553903,0.760572566904663,1.6387558691260316
55,0,1,0,0.09407914910697017,0.09397569314621014,0.760572566904663,1.0281837024690101
55,0,1,1,0.09407914910697017,0.14892394117004382,0.760572566904663,1.6293699369714922
55,0,2,0,0.1418357589925801,0.10321179545420442,1.1466556438898043,1.129235469681212
55,0,2,1,0.1436539555866111,0.1585242150643745,1.1613546549223883,1.734406088628625
55,1,0,0,0.09981203447617185,0.09358243436559538,0.8069194501663959,1.0238810763798165
55,1,0,1,0.09981203447617185,0.14853068238942901,0.8069194501663959,1.6250673108822982
55,1,1,0,0.09981203447617185,0.09272456288024886,0.8069194501663959,1.0144951442252768
55,1,1,1,0.09981203447617185,0.14767281090408252,0.8069194501663959,1.6156813787277586
55,1,2,0,0.1475686443617818,0.10205186553252936,1.1930025271515372,1.1165447301767217
55,1,2,1,0.1493868409558128,0.15736428514269948,1.2077015381841214,1.7217153491241353
55,2,0,0,0.15069496801561635,0.09428483633544196,1.218276947986999,1.0315660237720616
55,2,0,1,0.15069496801561635,0.14923308435927557,1.218276947986999,1.6327522582745428
55,2,1,0,0.15069496801561635,0.09342696485009545,1.218276947986999,1.0221800916175219
55,2,1,1,0.15069496801561635,0.14837521287392907,1.218276947986999,1.6233663261200033
55,2,2,0,0.1928283029157135,0.10275426750237594,1.5588992748405752,1.1242296775689669
55,2,2,1,0.1946464995097445,0.15806668711254604,1.573598285873159,1.72940029651638
55,3,0,0,0.28241987835151766,0.1022055625351923,2.283192544380721,1.1182263219582318
55,3,0,1,0.28035465176270136,0.15715381055902594,2.2664964464375967,1.7194125564607132
55,3,1,0,0.2832180067127572,0.1013476910498458,2.2896449256170475,1.1088403898036923
55,3,1,1,0.28115278012394085,0.15629593907367942,2.2729488276739227,1.7100266243061735
55,3,2,0,0.3634788235064492,0.11482930471747699,2.938504699861334,1.2563421000009833
55,3,2,1,0.3632317935116639,0.17014172432764707,2.9365076129507934,1.8615127189483964
65,0,0,0,0.11334525189300494,0.209280777664123,0.9163272627040737,2.2897312872117874
65,0,0,1,0.11334525189300494,0.24909597966015828,0.9163272627040737,2.7253475666165436
65,0,1,0,0.11334525189300494,0.19849733051749482,0.9163272627040737,2.171750091847269
65,0,1,1,0.11334525189300494,0.23641940028049238,0.9163272627040737,2.5866536992465123
65,0,2,0,0.1610637575948378,0.3025952773998482,1.3021022905928932,3.3106809032263054
